ProductID,Product Name,Price,Description,Category
1,"Berd TR27 29"" All Mountain Carbon Wheelset",2400,lightest,wheels
2,SHIMANO DEORE XT SL-M8100 SHIFTER - 12-SPEED,89.99,The groupset trusted by mountain bikers around the world for generations doesn't disappoint with its most recent M8100 shifters,shifters
3,SHIMANO DEORE XT CN-M8100 12-SPEED - HYPERGLIDE+ - SIL-TEC - MTB CHAIN,74.95,The M8100 chain provides enhanced chain retention thanks to an extended portion of the inner plate,chains
4,SHIMANO DEORE XT M8100 MINI GROUPSET,309.95, 1X12,XT
